anomaly_date,entity_type,entity_id,metric_name,actual_value,baseline_value,z_score,pct_change,anomaly_flag,notes,created_at
2019-11-30,overall,,events_count,1754878.0,2368232.4285714286,-0.35385650279583347,-0.05368130084457401,N,z>|3| OR day_change>|60%|,2026-02-04 19:44:18.019327
2019-11-30,overall,,revenue,40524862.35000003,12037681.864285668,2.053208641331492,3.205866454202212,Y,z>|3| OR +60% / -40% day_change,2026-02-04 19:44:18.019327
2019-11-30,overall,,cvr,0.016056956665933472,0.015642966481615294,0.10122608844421323,-0.07258735097703473,N,z>|3| OR day_change>|50%|,2026-02-04 19:44:18.019327
2019-11-30,overall,,events_count,1754878.0,2368232.4285714286,-0.35385650279583347,-0.05368130084457401,N,z>|3| OR day_change>|60%|,2026-02-04 20:24:34.172849
2019-11-30,overall,,revenue,40524862.350000024,12037681.864285665,2.053208641331493,3.20586645420221,Y,z>|3| OR +60% / -40% day_change,2026-02-04 20:24:34.172849
2019-11-30,overall,,cvr,0.016056956665933472,0.015642966481615294,0.10122608844421323,-0.07258735097703473,N,z>|3| OR day_change>|50%|,2026-02-04 20:24:34.172849
2019-11-15,overall,,events_count,6220416.0,1883673.642857143,11.244229512542784,1.0263749924260341,Y,z>|3| OR day_change>|60%|,2026-02-06 11:18:04.515323
2019-11-15,overall,,revenue,0.0,7040169.423571429,-15.381506869911908,-1.0,Y,z>|3| OR +60% / -40% day_change,2026-02-06 11:18:04.515323
2019-11-15,overall,,cvr,0.0,0.012975973636063424,-5.954709201755367,-1.0,Y,z>|3| OR day_change>|50%|,2026-02-06 11:18:04.515323
